genotype,dtf,height_cm,plants_m2,number_of_tillers,days_to_harvest,normalized_difference_vegetation_index,fluorescence,protein_pct
Fm388,106.999999999999,101.1666666666658,8.92693229171759,4.666666666666689,166.99999999999918,0.6083333333333252,0.5749999999999962,16.139166584997675
Fm389,119.83333333333233,81.49999999999915,34.09359895838427,1.333333333333355,182.49999999999918,0.5083333333333253,0.5016666666666627,17.05666655612739
Fm391,101.999999999999,101.33333333333249,7.093598958384258,2.166666666666688,161.99999999999918,0.6466666666666586,0.6699999999999962,17.040000000000035
Fm392,92.83333333333232,98.49999999999915,33.00000000000008,4.333333333333354,140.66666666666583,0.6366666666666586,0.7549999999999962,13.516666666666698
Fm394,100.83333333333235,92.83333333333249,14.158483767509102,4.166666666666688,160.12464829049875,0.5933333333333253,0.6376176865947333,16.544999918331005
Fm395,109.999999999999,111.99999999999912,,2.1666666666666883,165.4999999999992,0.6716666666666586,0.6713333333333296,15.991666556127392
Fm396,112.16666666666568,90.49999999999915,9.926932291717595,5.166666666666689,167.83333333333252,0.6416666666666586,0.6716666666666629,
Fm398,106.04332137103552,93.91408586649789,3.4918171008424244,2.473924950122838,160.19264394451844,0.5887652230652379,0.6074954720405262,16.46987412073967
Fm400,107.33333333333235,100.99999999999915,23.59359895838427,1.8333333333333552,166.83333333333252,0.6666666666666587,0.7333333333333294,15.06833325166434
Fm401,99.83333333333235,94.66666666666582,52.08855259817831,0.8333333333333548,157.33333333333252,0.6016666666666586,0.6699999999999962,17.003333333333366
Fm402,99.33333333333232,105.66666666666583,65.82515043417575,2.3333333333333552,150.33333333333252,0.684999999999992,0.7116666666666628,14.234999918331006
Fm404,107.74999987371018,105.96092490075054,,1.4499613050831848,162.8272869923587,0.6605298852680824,0.6796493990311643,15.179961962334833
Fm405,108.33333333333235,114.33333333333246,62.82515043417578,2.3333333333333552,169.16666666666583,0.6016666666666586,0.649999999999996,16.68237412073967
Fm406,101.83333333333235,98.16666666666583,20.15848376750911,0.6666666666666886,157.33333333333252,0.6083333333333254,0.664999999999996,15.369999918331008
Fm407,99.33333333333235,102.1666666666658,25.66666666666675,0.5000000000000216,156.16666666666583,0.6799999999999919,0.6849999999999961,15.439166584997672
Fm41,124.33333333333235,98.49999999999913,62.49181710084243,4.833333333333355,183.83333333333252,0.6866666666666585,0.689999999999996,15.439874091869388
Fm410,109.66666666666568,105.49999999999915,37.09359895838425,1.3333333333333555,170.9755688307353,0.6583333333333253,0.614999999999996,16.521666584997675
Fm411,101.499999999999,97.33333333333249,35.9269322917176,1.6666666666666887,157.83333333333252,0.6883333333333252,0.629999999999996,15.652499918331003
Fm412,99.99999999999902,84.66666666666582,30.000000000000078,4.666666666666689,152.16666666666586,0.634999999999992,0.6533333333333293,14.254999918331006
Fm413,108.66666666666569,95.49999999999915,36.42693229171758,4.500000000000021,163.83333333333252,0.6533333333333253,0.664999999999996,17.26583325166434
Fm414,99.33333333333235,97.49999999999915,28.000000000000078,0.5000000000000213,150.4999999999992,0.5566666666666586,0.6366666666666627,16.754999918331002
Fm415,98.16666666666569,96.49999999999915,22.1584837675091,4.333333333333356,148.99999999999918,0.6116666666666588,0.6533333333333293,15.281666584997673
Fm416,111.999999999999,107.66666666666582,28.926932291717588,1.6666666666666883,173.83333333333252,0.5983333333333254,0.5299999999999959,
Fm417,121.16666666666568,105.83333333333249,46.00000000000007,3.0000000000000226,183.66666666666586,0.5833333333333255,0.46999999999999587,
Fm418,119.999999999999,91.99999999999918,51.00000000000007,0.8333333333333546,181.33333333333252,0.6316666666666587,0.6516666666666626,23.06507577258278
Fm419,93.66666666666568,96.99999999999916,42.82515043417577,2.500000000000022,143.9999999999992,0.6466666666666587,0.7149999999999959,14.036666666666697
Fm420,103.999999999999,96.49999999999918,16.82515043417577,0.16666666666668775,157.05051209311927,0.6366666666666587,0.7016666666666626,16.15833322279405
Fm421,113.16666666666568,110.49999999999915,,1.8333333333333552,176.9999999999992,0.5166666666666587,0.5349999999999959,15.774874091869389
Fm428,94.33333333333235,87.66666666666583,18.158483767509104,5.500000000000024,147.30051209311927,0.6666666666666587,0.709999999999996,14.068333251664336
Fm429,95.83333333333235,130.99999999999915,22.49181710084244,0.3333333333333546,146.4999999999992,0.6699999999999919,0.6783333333333292,16.118333333333364
Fm43,126.16666666666569,92.66666666666583,55.09359895838425,4.000000000000023,182.33333333333252,0.6866666666666588,0.6083333333333294,
Fm44,111.83333333333235,98.66666666666583,80.15848376750913,3.8333333333333566,174.9999999999992,0.6516666666666586,0.6183333333333292,18.963333222794052
Fm442,111.16666666666569,87.83333333333249,29.09359895838426,1.1666666666666885,168.16666666666583,0.6266666666666587,0.539999999999996,16.509166584997665
Fm443,104.37665475513202,96.67693272048888,,3.4969734493434164,164.05040844711567,0.5540941211919641,0.6151176865947332,
