year,trait,scope,estimable,genotype,blue,standard_error,status
2023,dtf,year,TRUE,Fm600,123.33333333333485,3.0515449535707173,Estimable
2023,dtf,year,TRUE,Fm601,138.00000000000153,3.0515449535707173,Estimable
2023,dtf,year,TRUE,Fm603,93.00000000000153,3.0515449535707173,Estimable
2023,dtf,year,TRUE,Fm609,84.33333333333486,3.0515449535707178,Estimable
2023,dtf,year,TRUE,Fm610,114.33333333333483,3.0515449535707178,Estimable
2023,dtf,year,TRUE,Fm611,109.0000000000015,3.0515449535707178,Estimable
2023,dtf,year,TRUE,Fm612,107.66666666666818,3.0515449535707178,Estimable
2023,dtf,year,TRUE,Fm614,130.66666666666816,3.0515449535707173,Estimable
2023,dtf,year,TRUE,Fm615,108.33333333333485,3.0515449535707178,Estimable
2023,dtf,year,TRUE,Fm616,106.66666666666819,3.0515449535707173,Estimable
2023,dtf,year,TRUE,Fm620,91.66666666666816,3.0515449535707178,Estimable
2023,dtf,year,TRUE,Fm621,103.66666666666818,3.0515449535707178,Estimable
2023,dtf,year,TRUE,Fm63,159.33333333333482,3.0515449535707173,Estimable
2023,dtf,year,TRUE,Fm65,125.66666666666816,3.0515449535707178,Estimable
2023,dtf,year,TRUE,Fm74,158.66666666666816,3.0515449535707173,Estimable
2023,dtf,year,TRUE,Fm78,134.0000000000015,3.0515449535707173,Estimable
2023,dtf,year,TRUE,Fm79,145.66666666666816,3.0515449535707173,Estimable
2023,dtf,year,TRUE,Fm81,139.0000000000015,3.051544953570717,Estimable
2023,dtf,year,TRUE,Fm83,145.33333333333485,3.0515449535707178,Estimable
2023,dtf,year,TRUE,Fm84,155.00000000000153,3.0515449535707178,Estimable
2023,dtf,year,TRUE,Fm86,145.33333333333485,3.0515449535707173,Estimable
2023,dtf,year,TRUE,Fm87,157.0000000000015,3.0515449535707178,Estimable
2023,dtf,year,TRUE,Fm88,140.6666666666682,3.0515449535707173,Estimable
2023,dtf,year,TRUE,Fm91,156.6666666666682,3.0515449535707173,Estimable
2023,dtf,year,TRUE,Fm96,156.00000000000153,3.0515449535707173,Estimable
2023,dtf,year,TRUE,Fm97,139.66666666666816,3.0515449535707173,Estimable
2023,height_cm,year,TRUE,Fm104,88.66666666652979,4.223775299103102,Estimable
2023,height_cm,year,TRUE,Fm112,113.66666666666256,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm113,115.66666666666195,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm119,118.33333333332838,4.2237752991061415,Estimable
2023,height_cm,year,TRUE,Fm12,124.6666666666616,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm13,127.33333333332808,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm131,107.33333333332799,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm132,130.9999999999947,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm134,118.66666666666127,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm135,99.66666666666124,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm136,112.33333333332797,4.223775299106141,Estimable
2023,height_cm,year,TRUE,Fm138,121.66666666666134,4.2237752991061415,Estimable
2023,height_cm,year,TRUE,Fm139,122.99999999999466,4.2237752991061415,Estimable
2023,height_cm,year,TRUE,Fm141,116.66666666666129,4.2237752991061415,Estimable
2023,height_cm,year,TRUE,Fm142,99.99999999999459,4.2237752991061415,Estimable
2023,height_cm,year,TRUE,Fm145,116.99999999999466,4.2237752991061415,Estimable
2023,height_cm,year,TRUE,Fm146,117.333333333328,4.2237752991061415,Estimable
2023,height_cm,year,TRUE,Fm150,97.6666666666613,4.2237752991061415,Estimable
2023,height_cm,year,TRUE,Fm157,100.99999999999466,4.2237752991061415,Estimable
2023,height_cm,year,TRUE,Fm161,86.9999999999947,4.2237752991061415,Estimable
