genotype,dtf,height_cm,plants_m2,thousand_seed_weight_g,protein_pct,fat_pct,panicle_length_cm,pedicel_length_cm
Fm416,113.00000000000158,134.33333333332766,92.00000000000877,2.432798393573514,15.760430335998391,3.636244975914821,13.333333333333286,4.83333333333322
Fm417,133.0000000000016,122.33333333332766,64.00000000000878,2.383070752597044,19.05569585164374,4.039350113329766,9.166666666666618,1.9999999999998868
Fm418,116.00000000000155,110.99999999999433,92.00000000000881,2.6267653726531934,15.738319079081075,3.5401142963720162,12.333333333333284,2.233333333333221
Fm419,95.00000000000155,118.99999999999433,64.00000000000882,1.9209571204863218,13.805072148640809,3.200322211914948,10.833333333333282,4.333333333333222
Fm420,107.66666666666822,135.33333333332766,80.00000000000882,2.4405255035737494,12.466530799865582,3.155091749423409,,
Fm421,111.00000000000159,144.33333333332766,56.00000000000883,3.004956023032182,14.285505930582543,3.200620892437006,,
Fm428,93.66666666666823,114.66666666666099,36.000000000008825,2.519014653313528,,,,
Fm429,92.33333333333488,133.33333333332763,76.00000000000881,2.31184541598628,16.107912063598494,3.3511397236644096,,
Fm43,143.3333333333349,99.99999999999432,68.00000000000881,1.8471211099876423,,,10.66666666666662,3.333333333333221
Fm44,122.3333333333349,116.99999999999432,68.00000000000881,2.030767062289265,19.11905161539699,,10.833333333333286,3.666666666666555
Fm442,105.00000000000158,122.33333333332767,76.00000000000882,2.4050799271704273,15.001578648884948,3.630698708230196,,
Fm443,101.33333333333492,117.33333333332766,64.00000000000882,2.0606434268756058,13.385948816935079,3.8422639409276464,,
Fm444,113.00000000000156,106.66666666666099,104.00000000000884,2.276436993200228,,,,
Fm446,114.00000000000159,137.33333333332766,88.00000000000887,2.430802355210156,13.512921015421407,3.0857732468376726,,
Fm45,136.0000000000016,113.33333333332767,60.00000000000889,,,,10.833333333333288,1.333333333333221
Fm458,141.33333333333493,129.33333333332763,88.00000000000888,,,,,
Fm46,128.66666666666828,120.66666666666099,88.00000000000891,,,,11.33333333333329,4.333333333333222
Fm461,91.66666666666823,119.99999999999432,68.00000000000891,2.038716228383368,14.564233144124204,,,
Fm463,149.0000000000016,118.99999999999432,88.00000000000892,,,,,
Fm464,129.66666666666825,113.666666666661,56.00000000000895,,,,,
Fm468,138.00000000000156,120.666666666661,36.00000000000895,,,,,
Fm474,152.33333333333493,129.66666666666097,48.00000000000893,1.8685184421377634,16.43027464548733,3.952180440550732,,
Fm475,107.3333333333349,110.666666666661,80.00000000000891,3.190296402588512,13.649221738179385,4.686762157602536,,
Fm476,106.66666666666822,108.33333333332767,68.00000000000892,3.1875602149546323,13.793580055236673,4.017665783499505,,
Fm477,109.33333333333489,132.33333333332766,32.00000000000893,2.8487303486497697,12.174354871113954,3.2905300407902525,,
Fm478,111.00000000000155,144.3333333333277,100.66666666667558,1.9523804036667336,,,,
Fm480,112.00000000000153,124.33333333332766,68.00000000000894,2.1975604288499038,12.92977174123114,4.136377154481055,,
