genotype,deltaN__dtf,deltaN__height_cm,deltaN__plants_m2,deltaN__number_of_tillers,deltaN__days_to_harvest,deltaN__normalized_difference_vegetation_index,deltaN__fluorescence,deltaN__protein_pct
Fm442,-9.666666666664753,-1.6666666666683199,-5.812802083231496,-0.9999999999999597,-3.000000000001961,0.0399999999999886,0.033333333333368076,-0.05166650332854772
Fm443,-3.4199761769307315,-0.6871987743144103,,1.0060531013132556,-8.100816894234839,0.16514509094937757,-0.09690203985610635,
Fm444,0.33333333333523285,-5.666666666668306,4.520531250101783,-0.6666666666666263,10.666666666664753,-0.03666666666667828,-0.1599999999999654,2.6000002210786946
Fm446,5.333333333335261,-0.33333333333494863,6.853864583435122,-0.3333333333332942,8.333333333331439,-0.010000000000011444,0.030000000000034444,3.303333554412019
Fm458,-9.33333333333141,16.99999999999838,-1.47946874989821,0.6666666666667076,-5.333333333335219,0.003333333333321864,0.08666666666670098,
Fm464,13.000000000001961,2.6666666666650514,27.520531250101826,1.0000000000000417,8.999999999998067,-0.06000000000001149,-0.29333333333329864,0.10015192958224617
Fm474,11.333333333335275,0.6666666666650656,16.17484956582428,4.1300296516055823e-14,11.999999999998039,-0.026666666666678385,0.016666666666701302,1.4766666666667412
Fm475,-1.999999999998039,4.921849801501153,20.316967535018183,-0.33333333333329507,-3.012092681949497,0.017726437202836398,-0.03570120193762938,0.2933334966714618
Fm477,-2.333333333331396,6.333333333331709,1.8538645834351666,0.6666666666667078,-2.6666666666686183,0.026666666666655015,0.02333333333336829,
Fm478,-1.6666666666647103,2.333333333331737,24.98363420168486,1.3333333333333746,8.333333333331382,-0.06666666666667842,-0.06333333333329905,
Fm480,1.6666666666685757,3.3333333333317086,,1.0000000000000404,4.333333333331353,-0.020000000000011897,-0.05333333333329893,-0.2752514318445378
Fm482,8.66666666666859,10.33333333333168,-8.666666666666544,0.666666666666706,1.6666666666646677,0.09666666666665491,0.07333333333336745,1.374748568155459
Fm484,-1.333333333331396,6.333333333331694,1.650300868351529,0.33333333333337234,-1.9895196601282805e-12,-0.030000000000011573,0.06666666666670062,
Fm489,7.3333333333352755,-18.666666666668306,2.0000000000001315,1.3333333333333737,16.666666666664668,-0.08000000000001162,-0.15999999999996573,0.509748404817401
Fm491,4.3333333333352755,7.333333333331694,3.5205312501018415,-1.3333333333332953,0.9999999999980673,0.11999999999998817,0.07666666666670119,1.8114150714840687
