dataset,trait,model,n,status,started,updated,detail
2024_N120,normalized_difference_vegetation_index,FarmCPU,81,started,2026-09-08 21:00:10.826842,2026-09-08 21:00:10.827105,""
2024_N120,normalized_difference_vegetation_index,FarmCPU,81,completed,2026-09-08 21:00:10.826842,2026-09-08 21:01:46.800598,""
2024_N120,normalized_difference_vegetation_index,BLINK,81,started,2026-09-08 21:01:47.804073,2026-09-08 21:01:47.80435,""
2024_N120,normalized_difference_vegetation_index,BLINK,81,completed,2026-09-08 21:01:47.804073,2026-09-08 21:03:27.012802,""
2024_N120,fluorescence,MLM,81,started,2026-09-08 21:03:28.39838,2026-09-08 21:03:28.398716,""
2024_N120,fluorescence,MLM,81,completed,2026-09-08 21:03:28.39838,2026-09-08 21:06:07.72846,""
2024_N120,fluorescence,FarmCPU,81,started,2026-09-08 21:06:08.761098,2026-09-08 21:06:08.761361,""
2024_N120,fluorescence,FarmCPU,81,completed,2026-09-08 21:06:08.761098,2026-09-08 21:07:47.366909,""
2024_N120,fluorescence,BLINK,81,started,2026-09-08 21:07:48.313718,2026-09-08 21:07:48.313958,""
2024_N120,fluorescence,BLINK,81,completed,2026-09-08 21:07:48.313718,2026-09-08 21:09:27.638022,""
2024_N120,protein_pct,MLM,67,started,2026-09-08 21:09:28.82251,2026-09-08 21:09:28.8228,""
2024_N120,protein_pct,MLM,67,completed,2026-09-08 21:09:28.82251,2026-09-08 21:11:51.971202,""
2024_N120,protein_pct,FarmCPU,67,started,2026-09-08 21:11:52.727446,2026-09-08 21:11:52.7277,""
2024_N120,protein_pct,FarmCPU,67,completed,2026-09-08 21:11:52.727446,2026-09-08 21:16:26.008105,""
2024_N120,protein_pct,BLINK,67,started,2026-09-08 21:16:26.96116,2026-09-08 21:16:26.961427,""
2024_N120,protein_pct,BLINK,67,completed,2026-09-08 21:16:26.96116,2026-09-08 21:20:01.061872,""
2024_N120,dtf,FarmCPU,80,completed_recovered,2026-09-09 13:02:45.76789,2026-09-09 13:02:45.768248,Primary GAPIT GWAS table recovered with file.output=FALSE after internal plotting error
